time(ms),altitude(m),velocity_pressure(m/s),acceleration_x(mG),acceleration_y(mG),acceleration_z(mG),acceleration_total(mG),gyro_x,gyro_y,gyro_z,bmp_temp(x100),pitch,roll,yaw,tilt,mt1_temp,apogee_prediction,air_brake_percent,target_alt,air_density,
-16741,-0.203,0.00,0,0,0,-1000.0,0,0,0,,0.00,0.00,0.00,0.00,,0.00,0,,12121,
-16502,-0.203,0.04,0,0,0,-1000.0,0,0,0,,0.00,0.00,0.00,0.00,,0.00,0,,12121,
-16263,-0.186,0.08,0,0,0,-1000.0,0,0,0,,0.00,0.00,0.00,0.00,,0.00,0,,12121,
-16024,-0.168,0.05,86,104,-974,-16.7,0,0,0,,80.48,124.32,113.73,95.35,,0.00,0,,12121,
-15786,-0.160,0.02,55,133,-970,-19.4,1,0,0,,80.57,122.60,112.59,95.06,,0.00,0,,12121,
-15547,-0.157,-0.02,90,99,-989,-2.0,0,0,2,3505,80.50,122.09,111.79,95.03,,0.00,0,,12121,
-15308,-0.167,-0.05,77,120,-976,-13.6,-3,0,2,,80.70,122.15,111.70,94.93,,0.00,0,,12121,
-15069,-0.180,-0.04,79,166,-954,-28.4,-4,0,1,,80.35,122.73,112.17,95.20,,0.00,0,,12121,
-14830,-0.186,-0.02,78,140,-969,-17.8,-1,0,1,,80.53,119.83,109.14,94.69,,0.00,0,,12121,
-14591,-0.189,-0.04,86,129,-978,-9.8,-3,0,1,,80.52,122.98,112.08,95.14,,0.00,0,,12121,
-14352,-0.207,-0.10,85,137,-975,-11.8,-2,0,0,3505,80.48,122.52,111.49,95.10,,0.00,0,,12121,
-14114,-0.236,-0.14,88,170,-945,-35.8,-3,0,0,,80.48,124.05,112.86,95.31,,0.00,0,,12121,
-13875,-0.276,-0.19,97,131,-965,-21.3,1,0,0,,80.38,125.38,114.03,95.55,,0.00,0,,12121,
-13636,-0.325,-0.19,90,125,-956,-31.7,0,0,1,,80.40,125.23,113.65,95.52,,0.00,0,,12121,
-13397,-0.366,-0.15,82,138,-971,-15.8,0,0,0,,80.64,121.93,110.32,94.93,,0.00,0,,12122,
-13158,-0.397,-0.07,78,119,-983,-6.8,2,0,0,3506,80.27,122.31,110.57,95.18,,0.00,0,,12122,
-12919,-0.398,0.04,86,121,-971,-17.7,-1,0,0,,80.42,123.85,111.89,95.32,,0.00,0,,12122,
-12680,-0.380,0.03,78,136,-972,-15.4,0,0,0,,80.56,121.88,109.78,94.97,,0.00,0,,12122,
-12442,-0.384,-0.02,78,123,-979,-10.2,1,0,0,,80.51,121.40,109.16,94.93,,0.00,0,,12122,
-12203,-0.388,-0.01,95,138,-967,-18.6,0,0,1,,80.11,122.89,110.42,95.35,,0.00,0,,12122,
-11964,-0.392,-0.03,94,117,-972,-16.5,0,0,0,3508,80.59,122.63,110.00,95.06,,0.00,0,,12122,
-11725,-0.402,-0.01,86,125,-967,-21.2,0,0,0,,80.55,122.44,109.61,95.05,,0.00,0,,12122,
-11486,-0.394,0.05,90,136,-965,-21.3,0,0,1,,80.35,123.77,110.78,95.35,,0.00,0,,12122,
-11247,-0.377,0.05,87,118,-966,-22.9,0,0,0,,80.75,123.54,110.38,95.10,,0.00,0,,12122,
-11008,-0.367,0.05,80,123,-978,-11.1,0,0,1,,81.05,123.22,109.84,94.89,,0.00,0,,12122,
-10770,-0.352,0.07,77,136,-965,-22.4,0,0,0,3508,80.56,122.05,108.47,94.99,,0.00,0,,12122,
-10531,-0.336,0.06,99,135,-967,-18.6,1,0,0,,80.21,124.36,110.52,95.51,,0.00,0,,12122,
-10292,-0.323,0.05,80,130,-957,-30.9,1,0,0,,80.54,122.31,108.31,95.04,,0.00,0,,12121,
-10053,-0.313,-0.01,80,146,-958,-27.6,0,0,-1,,80.30,121.35,107.21,95.03,,0.00,0,,12121,
-9814,-0.325,-0.04,84,133,-959,-28.2,-2,0,1,,80.46,122.04,107.71,95.04,,0.00,0,,12121,
-9575,-0.331,-0.01,95,123,-976,-11.7,0,0,1,3509,80.42,122.86,108.33,95.18,,0.00,0,,12121,
-9336,-0.330,-0.00,89,134,-973,-13.8,0,0,0,,80.39,122.80,108.15,95.19,,0.00,0,,12121,
-9097,-0.331,0.02,86,147,-964,-21.1,-3,0,1,,80.37,120.68,105.96,94.90,,0.00,0,,12121,
-8859,-0.320,0.10,79,132,-963,-24.8,0,0,1,,80.56,121.28,106.34,94.89,,0.00,0,,12121,
-8620,-0.285,0.17,101,124,-973,-13.9,0,0,0,,80.15,122.28,107.07,95.24,,0.00,0,,12121,
-8381,-0.242,0.22,100,100,-983,-6.9,0,0,0,3510,80.44,122.98,107.64,95.19,,0.00,0,,12121,
-8142,-0.179,0.22,69,159,-948,-36.3,2,0,-1,,80.57,124.17,108.69,95.28,,0.00,0,,12121,
-7903,-0.142,0.06,84,144,-960,-25.6,3,0,0,,80.55,122.67,107.05,95.09,,0.00,0,,12121,
-7664,-0.147,-0.01,88,139,-959,-27.0,2,0,0,,80.63,124.67,108.82,95.31,,0.00,0,,12121,
-7425,-0.148,-0.01,92,124,-965,-22.7,3,0,0,,80.70,124.55,108.61,95.26,,0.00,0,,12121,
-7187,-0.151,-0.02,76,158,-967,-17.2,0,0,3,3511,80.45,120.61,104.45,94.85,,0.00,0,,12121,
-6948,-0.159,-0.02,87,126,-978,-10.1,1,0,0,,80.56,122.66,106.35,95.08,,0.00,0,,12121,
-6709,-0.159,0.02,78,158,-943,-40.7,4,0,-1,,80.40,123.43,106.96,95.27,,0.00,0,,12121,
-6470,-0.149,0.04,87,126,-960,-27.9,0,0,1,,80.55,125.22,108.51,95.43,,0.00,0,,12121,
-6231,-0.142,0.03,75,60,-994,-1.4,8,0,-1,,80.48,123.87,107.12,95.29,,0.00,0,,12121,
-5992,-0.135,0.03,77,113,-984,-6.5,1,0,0,3512,80.59,123.01,106.16,95.11,,0.00,0,,12121,
-5753,-0.127,0.04,77,112,-977,-13.6,1,0,0,,80.60,121.95,104.89,94.96,,0.00,0,,12121,
-5515,-0.117,0.08,85,102,-979,-12.0,0,0,0,,80.74,123.92,106.68,95.15,,0.00,0,,12121,
-5276,-0.089,0.10,96,143,-958,-26.6,0,0,1,,80.22,122.16,104.75,95.19,,0.00,0,,12121,
-5037,-0.069,0.14,63,163,-946,-38.0,-3,0,2,,80.33,122.27,104.66,95.15,,0.00,0,,12121,
-4798,-0.021,0.18,72,125,-978,-11.4,1,0,-2,3513,80.35,121.81,104.14,95.07,,0.00,0,,12121,
-4559,0.014,0.10,89,145,-961,-24.1,0,0,0,,80.18,121.04,103.06,95.05,,0.00,0,,12121,
-4320,0.028,0.02,76,138,-973,-14.3,0,0,1,,80.53,122.81,104.58,95.12,,0.00,0,,12121,
-4081,0.025,-0.01,90,160,-964,-18.7,-2,0,1,,80.32,122.58,104.09,95.20,,0.00,0,,12121,
-3842,0.025,0.01,90,111,-974,-15.6,-5,0,1,,80.53,125.09,106.38,95.43,,0.00,0,,12121,
-3604,0.031,0.05,76,125,-971,-18.0,-1,0,0,3513,80.41,122.24,103.37,95.10,,0.00,0,,12121,
-3365,0.052,0.12,72,141,-962,-25.1,1,0,0,,80.51,122.30,103.29,95.05,,0.00,0,,12121,
-3126,0.088,0.11,88,107,-983,-7.3,0,0,2,,80.29,124.53,105.44,95.49,,0.00,0,,12121,
-2887,0.102,0.04,89,120,-981,-7.7,1,0,0,,80.58,122.65,103.20,95.07,,0.00,0,,12121,
-2648,0.111,0.02,118,115,-966,-20.0,0,0,3,,80.53,121.97,102.38,95.00,,0.00,0,,12121,
-2409,0.110,-0.06,87,135,-974,-12.8,0,0,-2,3514,80.64,123.72,104.11,95.18,,0.00,0,,12121,
-2170,0.082,-0.11,75,116,-968,-22.2,0,0,1,,80.84,120.77,101.08,94.67,,0.00,0,,12121,
-1932,0.059,-0.06,77,133,-969,-18.9,-1,0,1,,80.78,121.44,101.48,94.79,,0.00,0,,12121,
-1693,0.053,-0.05,79,137,-975,-12.3,1,0,0,,80.76,123.18,103.04,95.04,,0.00,0,,12121,
-1454,0.037,-0.01,83,132,-968,-19.5,-1,0,1,,80.59,122.57,102.20,95.05,,0.00,0,,12121,
-1215,0.048,0.05,79,147,-970,-15.7,2,0,0,3515,80.39,121.04,100.54,94.94,,0.00,0,,12121,
-976,0.059,0.03,108,125,-978,-8.1,0,0,1,,80.55,123.21,102.51,95.16,,0.00,0,,12121,
-737,0.065,0.02,78,147,-973,-12.9,0,0,0,,80.45,123.23,102.49,95.22,,0.00,0,,12121,
-498,0.066,-0.00,85,115,-981,-8.6,1,0,0,,80.28,122.70,101.79,95.23,,0.00,0,,12121,
-260,0.065,0.12,93,115,-982,-6.9,0,0,-1,,80.56,123.36,102.29,95.18,,0.00,0,,12121,
-144,0.076,1.26,98,122,-975,-12.5,-3,0,3,3516,80.52,124.07,102.73,95.29,,0.00,0,,12121,
-96,0.098,2.78,86,136,-959,-27.6,0,0,0,,80.54,123.78,102.28,95.24,,0.00,0,,12121,
-48,0.126,4.26,85,127,-963,-24.9,-3,-1,3,,80.41,122.37,100.59,95.12,,0.00,0,,12121,
0,0.189,6.90,7,137,-952,-38.2,-7,2,-3,,80.44,124.51,102.66,95.40,,0.00,0,,12121,
48,0.493,8.56,224,347,-3992,3013.3,117,-7,-50,,73.40,110.04,91.71,95.62,,0.00,0,,12120,
96,1.112,10.85,375,645,-6165,5210.0,88,-11,-104,3516,75.19,107.89,92.74,94.50,,0.00,0,,12119,
144,1.661,13.39,259,408,-9661,8673.1,73,-8,-106,,77.99,105.28,95.63,93.14,,0.00,0,,12119,
192,2.679,16.48,494,844,-11236,10278.5,27,38,-35,,80.08,103.33,98.02,92.28,,0.00,0,,12117,
240,3.387,19.45,370,714,-11462,10490.2,20,-6,106,,80.64,106.62,98.13,92.67,,0.00,0,,12116,
288,4.233,22.47,355,207,-11144,10151.6,-6,-15,96,,81.41,111.01,96.40,93.07,,0.00,0,,12115,
336,5.328,27.30,130,462,-10111,9122.4,14,-40,5,3517,82.57,103.22,87.17,91.69,,0.00,0,,12113,
384,6.504,29.75,106,359,-6010,5021.6,0,-64,-50,,82.89,82.79,68.16,89.11,,0.00,0,,12112,
432,7.949,31.46,167,452,-5329,4350.7,-34,-64,-29,,81.36,63.24,50.18,86.12,,0.00,0,,12110,
480,9.653,32.94,297,374,-5048,4070.5,-68,-51,22,,78.16,57.39,44.67,83.65,,0.00,0,,12107,
528,12.002,34.74,360,197,-4880,3897.2,-85,-14,55,,74.33,62.28,47.60,82.78,,0.00,0,,12104,
576,14.194,37.37,305,-9,-4774,3783.7,-72,39,73,3518,71.49,72.29,54.88,84.46,,0.00,0,,12101,
624,15.633,39.05,83,1,-4689,3689.7,-27,59,71,,70.19,84.71,63.84,88.21,,0.00,0,,12099,
672,16.966,41.42,-36,-4,-4511,3511.1,15,52,43,,70.36,95.64,72.50,91.89,,0.00,0,,12097,
720,18.761,40.95,-41,10,-4409,3409.2,34,7,49,,72.04,102.24,77.55,93.75,,0.00,0,,12094,
768,20.824,40.36,-19,162,-4351,3354.1,45,-29,50,,74.54,104.47,76.82,93.82,,0.00,0,,12091,
816,22.962,42.94,104,256,-4302,3310.9,13,-39,83,3519,76.77,102.96,71.71,92.94,,0.00,0,,12088,
864,25.447,45.82,312,265,-4154,3174.1,-28,-31,119,,77.45,99.85,63.53,92.13,,0.00,0,,12084,
912,27.575,47.97,341,189,-4137,3155.3,-43,22,139,,76.06,104.19,61.69,93.39,,0.00,0,,12081,
960,29.728,49.08,198,140,-4143,3150.1,-20,50,148,,74.31,116.48,66.98,96.93,,0.00,0,,12078,
1008,32.104,50.03,-31,37,-4130,3130.3,-10,31,139,,73.03,127.34,71.05,100.20,,0.00,0,,12075,
1056,34.650,50.95,37,133,-4012,3014.4,-4,-31,148,3520,73.45,133.01,69.77,101.20,,0.00,0,,12071,
1109,37.381,52.46,142,124,-3948,2952.5,-16,-64,148,,75.34,131.72,60.81,99.70,,0.00,0,,12067,
1156,39.871,54.45,300,84,-3902,2914.4,-35,-48,140,,76.66,126.74,48.68,97.93,,0.00,0,,12064,
1204,42.432,55.97,191,-41,-3957,2961.8,-38,6,140,,76.58,126.37,41.44,97.91,,0.00,0,,12060,
1252,45.141,56.94,106,53,-3847,2848.8,9,32,130,,76.01,135.94,44.42,100.01,,0.00,0,,12056,
1300,47.849,58.98,124,163,-3861,2866.4,11,20,127,3520,76.24,149.05,51.21,101.77,,0.00,0,,12052,
1348,50.906,61.27,211,223,-3737,2749.6,-26,13,130,,76.41,155.39,51.49,102.34,,0.00,0,,12048,
1396,53.731,62.21,20,127,-3780,2782.2,-41,-4,98,,75.71,155.09,45.55,102.94,,0.00,0,,12044,
1444,56.698,62.83,242,171,-3622,2634.1,-2,-12,101,,76.00,154.41,39.82,102.60,,0.00,0,,12040,
1492,60.105,63.74,61,62,-3727,2728.0,0,15,115,,76.13,158.65,38.68,102.90,,179.37,0,,12035,
1546,63.830,63.60,53,96,-3606,2607.7,-1,-1,-1,3521,-0.01,-0.01,-0.01,0.00,,189.97,0,,12030,
1594,66.769,64.24,83,67,-3613,2614.6,-1,-1,-1,,-0.01,-0.01,-0.01,0.00,,196.33,0,,12025,
1642,69.698,64.29,249,13,-2374,1387.1,-1,-1,-1,,-0.01,-0.01,-0.01,0.00,,202.85,0,,12021,
1690,72.745,63.18,336,-37,-2003,1031.3,-3,-24,131,,79.13,167.56,21.92,100.61,,206.43,0,,12017,
1738,75.684,62.62,346,93,-1791,826.5,2,3,127,,79.61,175.22,23.53,100.35,,210.50,0,,12013,
1786,78.847,62.51,153,142,-616,-349.6,-12,8,125,3522,79.27,177.22,19.42,100.72,,215.70,0,,12008,
1834,81.793,62.11,-28,127,-455,-526.8,-27,3,142,,79.00,176.20,11.83,100.98,,218.12,0,,12004,
1882,84.695,61.80,-39,29,-480,-517.5,-22,-14,152,,79.57,175.21,3.63,100.39,,220.02,0,,12000,
1930,87.846,60.72,16,4,-473,-526.7,-2,-21,142,,80.86,179.29,0.58,99.14,,221.76,0,,11995,
1978,90.724,59.86,-61,69,333,-1345.5,99,-35,140,,82.20,-168.20,6.46,97.64,,222.30,0,,11991,
2026,93.653,60.01,-154,-104,344,-1391.0,-1393,453,131,3522,76.92,-120.57,49.10,96.61,,224.80,0,,11987,
2074,96.445,58.93,-47,96,934,-1940.1,-33,15,190,,74.91,-109.65,48.53,95.02,,227.46,0,,11983,
2122,98.983,57.72,-39,-121,859,-1868.4,-7,6,126,,75.53,-105.74,46.02,93.89,,226.81,0,,11980,
2170,101.891,56.89,23,-118,849,-1857.5,10,7,115,,75.21,-101.02,44.97,92.80,,227.10,0,,11975,
2218,104.812,56.06,38,0,835,-1835.9,5,13,100,,74.40,-97.75,43.08,92.08,,229.49,0,,11971,
2266,107.351,55.93,-44,-8,810,-1811.2,-12,15,107,3523,74.43,-95.54,40.13,91.48,,230.48,0,,11968,
2314,110.006,55.54,-31,-138,790,-1802.6,-18,4,115,,75.09,-92.31,37.77,90.59,,229.39,0,,11964,
2362,112.473,54.45,2,-107,776,-1783.3,0,6,105,,75.35,-87.92,36.77,89.47,,228.85,0,,11960,
2410,115.249,53.07,-9,-21,750,-1750.3,9,13,105,,74.92,-84.85,34.60,88.66,,229.65,0,,11957,
2458,117.916,52.58,-36,-44,742,-1744.2,-3,4,107,,74.83,-81.51,32.72,87.79,,230.80,0,,11953,
2506,120.378,52.39,-12,-95,718,-1724.4,-4,-6,112,3523,74.86,-75.68,33.16,86.30,,232.75,0,,11949,
2554,122.784,51.89,-4,-97,696,-1702.7,1,0,98,,74.74,-69.91,33.85,84.81,,232.90,0,,11946,
2602,125.087,50.51,25,-66,669,-1672.7,10,19,98,,74.48,-67.07,31.91,84.02,,230.91,0,,11943,
2650,127.644,49.62,-48,-6,655,-1656.8,5,18,97,,74.37,-66.28,27.83,83.78,,231.23,0,,11939,
2698,130.068,48.72,-52,-29,632,-1634.8,-5,2,80,,74.52,-63.49,26.20,83.16,,233.09,0,,11936,
2746,132.368,48.87,22,-94,628,-1635.4,-8,-3,82,3524,74.70,-58.64,27.19,82.11,,234.09,0,,11932,
2794,134.723,48.42,38,-55,604,-1607.7,5,2,87,,74.63,-54.58,27.16,81.16,,233.33,0,,11929,
2842,136.911,47.20,0,-67,593,-1596.8,7,16,95,,74.58,-52.36,24.87,80.65,,232.61,0,,11926,
2890,139.170,46.18,-32,-43,578,-1580.5,6,15,84,,74.72,-51.31,21.54,80.52,,231.82,0,,11923,
2938,141.497,45.31,-41,-40,566,-1568.9,1,8,87,,74.82,-49.00,19.52,80.11,,233.58,0,,11919,
2986,143.663,45.09,-65,6,558,-1561.8,0,-1,96,3524,74.80,-44.98,19.24,79.31,,235.30,0,,11916,
3034,145.847,44.72,-19,-60,529,-1532.7,-16,-6,92,,74.77,-38.36,21.43,78.11,,234.94,0,,11913,
3082,147.787,44.15,-3,-112,508,-1520.2,-8,1,91,,74.92,-31.67,23.74,77.21,,233.67,0,,11910,
3135,149.978,43.22,-6,-86,501,-1508.4,11,6,84,,74.98,-28.56,22.37,76.84,,232.31,0,,11907,
3182,152.220,42.27,-43,-13,477,-1479.1,16,13,75,,74.99,-28.37,18.73,76.83,,233.85,0,,11904,
3230,154.231,41.52,6,51,465,-1467.8,1,4,86,3525,75.03,-26.56,16.70,76.64,,235.25,0,,11901,
3278,156.337,41.32,-17,-11,455,-1455.5,-18,3,92,,75.33,-20.65,18.39,76.29,,235.86,0,,11898,
3326,158.241,41.11,-36,-76,435,-1443.1,-13,7,87,,75.70,-12.59,21.93,76.05,,235.61,0,,11896,
3374,160.084,40.45,-33,-64,435,-1440.9,0,4,84,,75.92,-7.56,22.92,76.04,,234.33,0,,11893,
3422,162.012,39.78,-3,-68,425,-1430.4,5,1,86,,75.95,-4.45,21.90,75.99,,234.28,0,,11890,
3470,163.816,38.82,12,0,416,-1416.2,10,0,81,3526,75.84,-2.41,19.92,75.85,,234.89,0,,11888,
3518,165.700,38.58,7,18,400,-1400.5,0,3,75,,75.79,0.28,18.80,75.79,,236.40,0,,11885,
3566,167.690,37.95,-2,20,386,-1386.5,-11,10,78,,76.08,5.27,20.10,76.14,,237.03,0,,11882,
3614,169.477,37.46,-34,3,375,-1376.6,-17,10,73,,76.38,12.37,23.71,76.70,,236.46,0,,11880,
3662,171.288,37.14,-16,-46,376,-1379.1,-18,0,70,,76.29,19.72,27.65,77.11,,236.53,0,,11877,
3710,173.037,36.31,-45,-60,362,-1369.7,-8,-5,70,3527,75.84,25.20,29.82,77.21,,236.67,0,,11875,
3758,174.677,35.49,-13,-44,360,-1362.9,3,-7,72,,75.48,28.21,29.32,77.23,,236.75,0,,11873,
3806,176.424,34.69,0,-32,342,-1343.5,10,-6,76,,75.28,29.82,27.20,77.26,,237.56,0,,11870,
3854,178.056,34.09,9,-39,340,-1342.3,7,-1,76,,75.29,31.65,25.33,77.52,,237.90,0,,11868,
3902,179.702,33.53,27,-7,331,-1332.2,5,4,67,,75.50,33.97,24.30,78.01,,237.90,0,,11865,
3950,181.270,32.92,10,-15,310,-1310.5,0,15,67,3527,75.93,38.17,25.23,78.98,,237.27,0,,11863,
3998,182.775,32.30,-6,-4,310,-1310.1,-2,17,64,,76.42,43.91,27.80,80.26,,236.29,0,,11861,
4046,184.413,31.81,-31,-5,301,-1302.6,-3,13,64,,76.76,49.78,30.64,81.49,,236.46,0,,11859,
4094,185.889,31.12,-39,2,284,-1286.7,-6,5,68,,76.79,55.04,32.82,82.48,,236.58,0,,11857,
4142,187.331,31.08,-42,4,281,-1284.1,-9,-4,60,,76.41,58.89,33.58,83.03,,236.24,0,,11855,
4190,188.833,30.72,-35,-18,269,-1271.9,-9,-10,58,3528,75.71,61.10,32.96,83.15,,236.38,0,,11853,
4237,190.214,30.10,-18,22,258,-1259.6,-4,-11,56,,75.04,62.33,31.41,83.11,,236.45,0,,11851,
4285,191.654,29.76,16,11,250,-1250.8,-8,-7,57,,74.44,63.91,30.27,83.22,,236.40,0,,11849,
4333,193.150,29.16,19,9,248,-1248.9,-13,2,62,,73.77,67.44,30.82,83.84,,237.06,0,,11847,
4381,194.544,28.72,8,-14,236,-1236.6,-14,13,73,,73.17,72.83,33.06,85.10,,237.77,0,,11845,
4429,195.951,28.18,5,-7,229,-1229.2,-9,19,68,3529,72.74,79.27,36.24,86.83,,238.32,0,,11843,
4477,197.265,27.51,-17,-14,222,-1223.1,-6,17,66,,72.45,85.45,39.36,88.63,,238.06,0,,11841,
4525,198.533,27.10,-34,-11,213,-1216.0,-2,9,64,,72.20,90.49,41.36,90.15,,238.24,0,,11839,
4573,199.829,26.51,-22,-8,209,-1210.3,-2,0,60,,72.01,94.02,41.93,91.24,,238.50,0,,11837,
4621,201.041,25.94,-14,0,200,-1200.5,-3,-5,59,,71.83,96.37,41.38,91.98,,238.25,0,,11836,
4669,202.239,25.63,5,0,201,-1201.1,-6,-5,54,3530,71.55,98.27,40.53,92.61,,238.11,0,,11834,
4717,203.515,25.13,-3,-9,192,-1192.2,-9,0,53,,71.11,100.38,40.00,93.34,,238.38,0,,11832,
4765,204.701,24.63,-1,11,180,-1180.3,-10,6,52,,70.52,103.20,40.33,94.37,,238.03,0,,11830,
4813,205.936,24.23,-19,1,180,-1181.0,-14,10,58,,69.73,106.44,41.02,95.63,,238.30,0,,11829,
4861,207.085,23.69,-7,4,179,-1179.2,-17,11,56,,68.68,109.83,41.72,97.08,,238.48,0,,11827,
4908,208.176,23.02,-20,13,176,-1177.6,-15,8,57,3531,67.63,112.90,42.07,98.52,,238.37,0,,11826,
4956,209.293,22.71,-7,-10,163,-1163.5,-12,3,55,,66.76,115.41,41.88,99.75,,238.87,0,,11824,
5004,210.321,22.03,1,0,161,-1161.0,-5,1,55,,66.24,117.81,41.62,100.83,,238.77,0,,11822,
5052,211.344,21.70,0,-8,157,-1157.2,-5,4,59,,65.85,120.59,41.71,102.02,,238.77,0,,11821,
5100,212.389,21.26,-14,12,148,-1149.1,-2,8,59,,65.48,123.97,42.34,103.41,,238.88,0,,11820,
5152,213.457,20.73,-12,23,145,-1147.3,-6,10,60,3532,64.93,127.40,42.89,104.91,,238.54,0,,11818,
5200,214.451,20.47,0,51,140,-1149.0,-14,8,59,,64.08,130.27,42.88,106.41,,238.47,0,,11817,
5248,215.447,20.02,-4,26,141,-1143.4,-24,8,60,,62.95,132.46,42.04,107.88,,238.52,0,,11815,
5296,216.393,19.55,3,14,141,-1141.7,-31,10,57,,61.36,134.26,40.60,109.54,,238.61,0,,11814,
5344,217.357,19.05,-8,-1,133,-1133.2,-32,11,54,,59.77,135.66,39.07,111.11,,238.80,0,,11813,
5392,218.264,18.49,-12,-13,130,-1131.2,-28,10,52,3533,58.29,137.11,37.74,112.65,,239.03,0,,11811,
5440,219.134,18.01,0,-18,118,-1119.4,-32,5,52,,56.98,138.52,36.36,114.10,,239.18,0,,11810,
5488,219.978,17.48,20,-30,117,-1122.4,-24,2,49,,55.80,139.58,34.66,115.34,,239.21,0,,11809,
5536,220.766,16.89,7,-28,98,-1102.2,8,11,50,,55.13,141.77,34.42,116.69,,239.09,0,,11808,
5584,221.577,16.42,8,-4,100,-1100.4,26,16,48,,55.01,146.06,36.66,118.41,,238.93,0,,11807,
5632,222.346,15.94,7,0,110,-1110.2,8,13,48,3534,54.70,150.08,38.68,120.06,,238.84,0,,11806,
5680,223.098,15.56,9,14,94,-1095.5,8,14,50,,54.08,153.08,39.49,121.54,,238.69,0,,11805,
5728,223.851,15.16,18,36,108,-1115.3,4,16,51,,53.41,156.59,40.83,123.16,,238.52,0,,11804,
5776,224.555,14.71,13,27,92,-1096.8,-5,17,53,,52.44,159.10,40.84,124.71,,238.41,0,,11803,
5824,225.269,14.32,9,29,83,-1088.4,-12,18,53,,51.30,161.36,40.48,126.33,,238.35,0,,11802,
5872,225.943,13.82,21,30,82,-1089.8,-19,18,53,3534,50.04,163.37,39.84,127.98,,238.42,0,,11801,
5920,226.590,13.60,30,8,83,-1088.6,-29,18,58,,48.66,164.97,38.33,129.64,,238.46,0,,11800,
5968,227.235,13.48,23,14,76,-1080.6,-19,25,59,,47.12,166.82,37.03,131.49,,238.50,0,,11799,
6016,227.838,13.39,23,6,80,-1083.5,-17,30,57,,45.35,168.97,36.15,133.61,,238.52,0,,11798,
6064,228.400,13.24,10,5,71,-1071.9,-15,34,57,,43.46,171.21,35.39,135.83,,238.40,0,,11797,
6112,229.064,12.62,11,-4,75,-1075.9,-15,34,56,3535,41.51,173.51,34.69,138.08,,,,,,
6160,229.709,12.17,5,0,68,-1068.2,-12,33,55,,39.62,175.71,33.98,140.19,,,,,,
6208,230.403,12.40,-15,-83,-433,-558.9,-28,15,57,,38.08,177.59,32.75,141.86,,,,,,
6256,231.034,13.54,672,-1063,-754,466.3,-548,615,353,,21.97,-171.58,38.93,156.55,,,,,,
6304,231.469,14.87,-107,109,416,-1443.2,-512,-157,47,,29.58,-171.87,32.57,149.42,,,,,,
6352,231.911,16.08,-178,-118,791,-1819.3,316,66,17,3536,27.70,-172.81,28.73,151.45,,,,,,
6400,232.547,16.89,-280,-122,1000,-2045.6,-42,-42,-147,,25.04,-171.68,32.92,153.70,,,,,,
6448,233.543,17.43,-29,-18,403,-1404.4,-36,-96,-204,,28.74,178.46,30.94,151.22,,,,,,
6496,234.698,17.29,61,-14,426,-1430.6,-27,-100,-200,,33.11,167.36,28.43,144.82,,,,,,
6544,235.836,15.21,119,-25,182,-1218.9,-69,-123,-200,,37.11,155.04,23.58,136.30,,,,,,
6592,236.910,12.43,176,-35,241,-1300.5,28,-124,-215,3536,41.51,142.07,19.00,126.20,,,,,,
6640,237.786,9.30,1719,452,-26,777.6,14,-177,-346,,46.78,125.10,12.94,113.19,,,,,,
6688,238.386,7.31,407,216,166,-1489.8,73,-204,-230,,52.24,100.17,0.90,96.21,,,,,,
6735,238.083,7.19,539,541,66,-1766.5,170,-238,-188,,57.48,75.12,-312.68,82.06,,,,,,
6783,237.547,5.67,373,1072,-29,135.4,285,-267,-185,,59.67,40.24,312.22,67.33,,,,,,
6831,237.165,3.38,869,897,128,-2255.4,391,-377,-174,3536,51.65,1.27,275.74,51.66,,,,,,
6879,237.245,0.72,97,676,182,-1706.8,521,-341,-151,,29.72,-22.47,251.35,36.63,,,,,,
6927,238.302,0.15,82,328,248,-1419.3,546,-248,-112,,5.00,-33.49,234.48,33.82,,,,,,
6975,238.927,0.84,-22,144,224,-1267.2,543,-194,-74,,-18.88,-35.67,218.97,39.76,,,,,,
7023,238.982,1.59,-161,15,224,-723.7,549,-156,-35,,-40.55,-27.46,198.26,47.60,,,,,,
7071,238.681,1.45,-119,-383,320,-486.9,485,-152,64,3537,-54.25,-1.75,164.81,54.27,,,,,,
7123,238.256,-1.23,-229,-1475,333,529.4,401,-110,401,,-54.96,43.73,122.84,65.49,,,,,,
7171,237.990,-2.95,111,-1020,-970,412.0,557,-214,649,,-56.35,94.15,90.35,92.30,,,,,,
7219,237.857,-3.29,-46,-11,84,-903.6,-371,136,201,,-74.69,114.43,81.62,96.27,,,,,,
7267,237.758,-2.81,-54,4,37,-934.4,53,115,65,,-82.10,117.65,87.41,93.66,,,,,,
7315,237.722,-2.31,-292,-147,324,-539.7,-296,211,-75,3537,-88.00,-164.72,-295.71,91.93,,,,,,
7363,237.726,-2.50,-343,-139,212,-573.5,-278,141,-140,,-77.19,-71.96,261.79,86.06,,,,,,
7411,237.687,-3.12,-272,-183,335,-531.3,-291,202,-212,,-61.09,-70.06,250.51,80.51,,,,,,
7459,237.610,-3.60,-234,-199,342,-540.3,-286,202,-252,,-44.71,-74.17,241.50,78.82,,,,,,
7507,237.445,-3.91,-146,-179,214,-685.1,-266,159,-221,,-30.00,-81.10,234.25,82.30,,,,,,
